,PostalCode,Borough,Neighborhood,Latitude,Longitude
0,M3A,North York,Parkwoods,43.6534817,-79.3839347
1,M4A,North York,Victoria Village,43.7276,-79.3148
2,M5A,Downtown Toronto,"Regent Park , Harbourfront",43.6555,-79.3626
3,M6A,North York,"Lawrence Manor , Lawrence Heights",43.7223,-79.4504
4,M7A,Downtown Toronto,"Queen's Park , Ontario Provincial Government",43.6534817,-79.3839347
5,M9A,Etobicoke,Islington Avenue,43.6662,-79.5282
6,M1B,Scarborough,"Malvern , Rouge",43.6534817,-79.3839347
7,M3B,North York,Don Mills,43.745,-79.359
8,M4B,East York,"Parkview Hill , Woodbine Gardens",43.7063,-79.3094
9,M5B,Downtown Toronto,"Garden District, Ryerson",43.6572,-79.3783
10,M6B,North York,Glencairn,43.7081,-79.4479
11,M9B,Etobicoke,"West Deane Park , Princess Gardens , Martin Grove , Islington , Cloverdale",43.6407412,-79.5419018
12,M1C,Scarborough,"Rouge Hill , Port Union , Highland Creek",43.6534817,-79.3839347
13,M3C,North York,Don Mills,43.7328216,-79.3469614
14,M4C,East York,Woodbine Heights,43.6913,-79.3116
15,M5C,Downtown Toronto,St. James Town,43.6513,-79.3756
16,M6C,York,Humewood-Cedarvale,43.6915,-79.4307
17,M9C,Etobicoke,"Eringate , Bloordale Gardens , Old Burnhamthorpe , Markland Wood",43.6441099,-79.5889069
18,M1E,Scarborough,"Guildwood , Morningside , West Hill",43.7678,-79.1866
19,M4E,East Toronto,The Beaches,43.6784,-79.2941
20,M5E,Downtown Toronto,Berczy Park,43.6421064,-79.3774455
21,M6E,York,Caledonia-Fairbanks,43.6889,-79.4507
22,M1G,Scarborough,Woburn,43.7657168,-79.2218984
23,M4G,East York,Leaside,43.7124,-79.3644
24,M5G,Downtown Toronto,Central Bay Street,43.6564,-79.386
25,M6G,Downtown Toronto,Christie,43.6683,-79.4205
26,M1H,Scarborough,Cedarbrae,43.7686,-79.2389
27,M2H,North York,Hillcrest Village,43.8015,-79.3577
28,M3H,North York,"Bathurst Manor , Wilson Heights , Downsview North",43.7561987,-79.4398017
29,M4H,East York,Thorncliffe Park,43.7059,-79.3464
30,M5H,Downtown Toronto,"Richmond , Adelaide , King",43.6498955,-79.3826949
31,M6H,West Toronto,"Dufferin , Dovercourt Village",43.6655,-79.4378
32,M1J,Scarborough,Scarborough Village,43.7464,-79.2323
33,M2J,North York,"Fairview , Henry Farm , Oriole",43.7797719,-79.3661846
34,M3J,North York,"Northwood Park , York University",43.7739937,-79.4922597
35,M4J,East York,East Toronto,43.6872,-79.3368
36,M5J,Downtown Toronto,"Harbourfront East , Union Station , Toronto Islands",43.6392586,-79.38284
37,M6J,West Toronto,"Little Portugal , Trinity",43.6522219,-79.4075386
38,M1K,Scarborough,"Kennedy Park , Ionview , East Birchmount Park",43.7298,-79.2639
39,M2K,North York,Bayview Village,43.7797,-79.3813
40,M3K,North York,Downsview,43.739,-79.4692
41,M4K,East Toronto,"The Danforth West , Riverdale",43.6803,-79.3538
42,M5K,Downtown Toronto,"Toronto Dominion Centre , Design Exchange",43.6469,-79.3823
43,M6K,West Toronto,"Brockton , Parkdale Village , Exhibition Place",43.6370969,-79.4349584
44,M1L,Scarborough,"Golden Mile , Clairlea , Oakridge",43.7122,-79.2843
45,M2L,North York,"York Mills , Silver Hills",43.7547,-79.3764
46,M3L,North York,Downsview,43.7334,-79.5116
47,M4L,East Toronto,"India Bazaar , The Beaches West",43.6727601,-79.3040584
48,M5L,Downtown Toronto,"Commerce Court , Victoria Hotel",43.6492,-79.3823
49,M6L,North York,"North Park , Maple Leaf Park , Upwood Park",43.7137,-79.4869
50,M9L,North York,Humber Summit,43.7598,-79.5565
51,M1M,Scarborough,"Cliffside , Cliffcrest , Scarborough Village West",43.7247,-79.2312
52,M2M,North York,"Willowdale , Newtonbrook",43.7859621,-79.4160308
53,M3M,North York,Downsview,43.7319,-79.4928
54,M4M,East Toronto,Studio District,43.6561,-79.3406
55,M5M,North York,"Bedford Park , Lawrence Manor East",43.7335,-79.4177
56,M6M,York,"Del Ray , Mount Dennis , Keelsdale and Silverthorn",43.6934,-79.4857
57,M9M,North York,"Humberlea , Emery",43.7366,-79.5401
58,M1N,Scarborough,"Birch Cliff , Cliffside West",43.6952,-79.2646
59,M2N,North York,Willowdale,43.7792386,-79.4165934
60,M3N,North York,Downsview,43.7568,-79.521
61,M4N,Central Toronto,Lawrence Park,43.7301,-79.3935
62,M5N,Central Toronto,Roselawn,43.7113,-79.4195
63,M6N,York,"Runnymede , The Junction North",43.6755658,-79.4831923
64,M9N,York,Weston,43.7068,-79.517
65,M1P,Scarborough,"Dorset Park , Wexford Heights , Scarborough Town Centre",43.7612,-79.2707
66,M2P,North York,York Mills West,43.75,-79.3978
67,M4P,Central Toronto,Davisville North,43.7135,-79.3887
68,M5P,Central Toronto,Forest Hill North & West,43.6966,-79.412
69,M6P,West Toronto,"High Park , The Junction South",43.6621728,-79.4638772
70,M9P,Etobicoke,Westmount,43.6949,-79.5323
71,M1R,Scarborough,"Wexford , Maryvale",43.7507,-79.3003
72,M2R,North York,Willowdale,43.7786,-79.445
73,M4R,Central Toronto,North Toronto West,43.7143,-79.4065
74,M5R,Central Toronto,"The Annex , North Midtown , Yorkville",43.6736,-79.4035
75,M6R,West Toronto,"Parkdale , Roncesvalles",43.6469,-79.4521
76,M7R,Mississauga,Canada Post Gateway Processing Centre,43.6534817,-79.3839347
77,M9R,Etobicoke,"Kingsview Village , St. Phillips , Martin Grove Gardens , Richview Gardens",43.6951662,-79.5508899
78,M1S,Scarborough,Agincourt,43.7946,-79.2644
79,M4S,Central Toronto,Davisville,43.702,-79.3853
80,M5S,Downtown Toronto,"University of Toronto , Harbord",43.6629,-79.3987
81,M6S,West Toronto,"Runnymede , Swansea",43.6492475,-79.4746306
82,M1T,Scarborough,"Clarks Corners , Tam O'Shanter , Sullivan",43.7812,-79.3036
83,M4T,Central Toronto,"Moore Park , Summerhill East",43.6899,-79.3853
84,M5T,Downtown Toronto,"Kensington Market , Chinatown , Grange Park",43.6541,-79.3978
85,M1V,Scarborough,"Milliken , Agincourt North , Steeles East , L'Amoreaux East",43.8177,-79.2819
86,M4V,Central Toronto,"Summerhill West , Rathnelly , South Hill , Forest Hill SE , Deer Park",43.6861,-79.4025
87,M5V,Downtown Toronto,"CN Tower , King and Spadina , Railway Lands , Harbourfront West , Bathurst",43.6456336,-79.3929874
88,M8V,Etobicoke,"New Toronto , Mimico South , Humber Bay Shores",43.6075,-79.5013
89,M9V,Etobicoke,"South Steeles , Silverstone , Humbergate , Jamestown , Mount Olive , Beaumond Heights , Thistletown , Albion Gardens",43.7432,-79.5876
90,M1W,Scarborough,"Steeles West , L'Amoreaux West",43.8154547,-79.327721
91,M4W,Downtown Toronto,Rosedale,43.6827,-79.373
92,M5W,Downtown Toronto,Stn A PO Boxes,43.6437,-79.3787
93,M8W,Etobicoke,"Alderwood , Long Branch",43.6021,-79.5402
94,M9W,Etobicoke,Northwest,43.7154865,-79.5640725
95,M1X,Scarborough,Upper Rouge,43.834,-79.2069
96,M4X,Downtown Toronto,"St. James Town , Cabbagetown",43.6680266,-79.3692816
97,M5X,Downtown Toronto,"First Canadian Place , Underground city",43.6492,-79.3823
98,M8X,Etobicoke,"The Kingsway , Montgomery Road  , Old Mill North",43.6518,-79.5076
99,M4Y,Downtown Toronto,Church and Wellesley,43.6656,-79.383
100,M7Y,East Toronto,Business reply mail Processing CentrE,43.7804,-79.2505
101,M8Y,Etobicoke,"Old Mill South , King's Mill Park , Sunnylea , Humber Bay , Mimico NE , The Queensway East , Royal York South East , Kingsway Park South East",43.6325,-79.4939
102,M8Z,Etobicoke,"Mimico NW , The Queensway West , South of Bloor , Kingsway Park South West , Royal York South West",43.6256,-79.5231
